epoch,epsilon,team_return,team_return_ma,greedy_team_return,agent0_return,agent0_return_ma,agent1_return,agent1_return_ma,agent2_return,agent2_return_ma,agent0_task0_return,agent0_task0_return_ma,agent0_task1_return,agent0_task1_return_ma,agent0_task2_return,agent0_task2_return_ma,agent0_task3_return,agent0_task3_return_ma,agent0_task4_return,agent0_task4_return_ma,duration_ms
0,0.700000,6.98,6.98,13.953333,6.08,6.08,15.28,15.28,-0.42,-0.42,-5.4,-5.4,-1.8,-1.8,18,18,19.9,19.9,-0.3,-0.3,0
1,0.574000,2.82,4.9,16.253333,-6.94,-0.43,10.94,13.11,4.46,2.02,-12.7,-9.05,-16.2,-9,-13.9,2.05,-10,4.95,18.1,8.9,0
2,0.470680,11.266667,7.022222,15.86,9.22,2.786667,9.24,11.82,15.34,6.46,18,-0.033333,-11.5,-9.833333,19.8,7.966667,-0.1,3.266667,19.9,12.566667,0
3,0.385958,13.786667,8.713333,13.94,19.38,6.935,15.26,12.68,6.72,6.525,19.7,4.9,19.3,-2.55,19.4,10.825,19.1,7.225,19.4,14.275,0
4,0.316485,12.506667,9.472,15.96,8.8,7.308,13.54,12.852,15.18,8.256,-12.6,1.4,17.9,1.54,18.9,12.44,19.9,9.76,-0.1,11.4,0
5,0.259518,3.473333,8.770667,17.886667,-9.04,4.284,9.88,11.772,9.58,10.256,-14.5,-0.42,-0.2,1.86,-15.8,5.68,-14.6,2.86,-0.1,11.44,0
6,0.212805,17.293333,11.665333,12.393333,13,8.272,19.14,13.412,19.74,13.312,19.7,6.06,19,8.9,-12.5,5.96,19.9,8.84,18.9,11.6,0
7,0.174500,10.993333,11.610667,16.62,3.78,7.184,13.7,14.304,15.5,13.344,-9.2,0.62,19.8,15.16,-11.5,-0.3,-0.1,8.84,19.9,11.6,0
8,0.143090,17.26,12.305333,12.686667,19.2,7.148,19.76,15.204,12.82,14.564,19.7,0.62,19.8,15.26,16.7,-0.84,19.9,9,19.9,11.7,0
9,0.117334,17.213333,13.246667,13.913333,19.64,9.316,19.22,16.34,12.78,14.084,19.2,6.98,19.8,15.64,19.8,-0.66,19.9,9,19.5,15.62,0
10,0.096214,17.506667,16.053333,14.193333,19.34,14.992,19.3,18.224,13.88,14.944,19.7,13.82,19.8,19.64,18.3,6.16,19.9,15.9,19,19.44,0
11,0.078895,16.266667,15.848,11.08,19.74,16.34,13.6,17.116,15.46,14.088,19.7,13.82,19.8,19.8,19.8,12.62,19.9,15.9,19.5,19.56,0
12,0.064694,15.58,16.765333,9.12,14.04,18.392,13.92,17.16,18.78,14.744,18.9,19.44,19.8,19.8,19.8,18.88,19.9,19.9,-8.2,13.94,0
13,0.053049,17.44,16.801333,10.76,14.16,17.384,19.68,17.144,18.48,15.876,19.7,19.44,19.8,19.8,19,19.34,19.9,19.9,-7.6,8.44,0
14,0.050000,10.52,15.462667,10.353333,15.22,16.5,6.36,14.572,9.98,15.316,19.3,19.46,19.8,19.8,17.8,18.94,19.9,19.9,-0.7,4.4,0
15,0.050000,13.746667,14.710667,13.033333,13.94,15.42,19.48,14.608,7.82,14.104,19.2,19.36,19.8,19.8,18.6,19,19.9,19.9,-7.8,-0.96,0
